"","gage","region","allmod_slope","uppmod_slope","lowmod_slope","kirch_slope","dly_med_slope","event_med_slope","nonlinear_frac_shapwilk","convex_frac_esum","convex_frac_slpvslp","convex_frac_pwrlg","convex_frac_circ","convex_frac_sqdvsrt","tot_convex","tot_concav","tot_events","fltcav","fltnth","fltvex","okycav","okynth","okyvex","stpcav","stpnth","stpvex"
"1","01013500","NorthEast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","01017550","NorthEast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","01021470","NorthEast",2.32496140926974,4.030865735431,1.13478597559349,2.32123825356662,1.42847066627995,3.25130240518924,0.2,1,0.9,0.8,0.9,0,8,1,62,0.1,0,0,0,0,0,0,0.1,0.8
"4","01021480","NorthEast",1.38945601795478,2.86680938117343,1.43748395061502,1.38746498338002,0.909866116078815,2.51118431279461,0.4,1,1,1,1,0.4,10,0,72,0,0,0,0,0,0,0,0,1
"5","01022260","NorthEast",1.35089520898469,2.21117318876943,0.739738563507088,1.33161670049772,0.699244072918416,2.80884170543339,0.1,0.9,0.9,0.8,0.9,0.7,8,1,58,0,0,0,0,0,0,0.1,0.1,0.8
"6","01022330","NorthEast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","01022500","NorthEast",1.43520632234725,2.75287099142973,1.10488040861968,1.41646333170829,1.14173487391813,1.98352360529843,0.4,0.8,0.6,0.5,0.8,0.5,5,2,281,0,0,0,0.1,0,0,0.1,0.3,0.5
"8","01023000","NorthEast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","01027200","NorthEast",1.36025284909001,1.90984929564336,1.00514276188631,1.37304967441329,1.11913701587029,2.02975456866829,0.4,0.8,0.8,0.6,0.8,0.6,6,2,88,0,0,0,0,0,0,0.2,0.2,0.6
"10","01029200","NorthEast",1.15119048148031,1.44751845391454,0.846861954944679,1.15300808926484,0.494818413471835,2.43755612333303,0.1,1,1,0.9,1,1,10,0,69,0,0,0,0,0,0.1,0,0,0.9
"11","01030500","NorthEast",1.21168930644791,0.0956128880968698,1.24618095859505,0.957601141379082,0.663465649638086,1.68867931545333,0.3,0.9,1,0.5,1,0.8,8,0,282,0,0,0,0,0,0.2,0,0.2,0.6
"12","01031300","NorthEast",1.39047127377938,4.01523983050143,0.999261605752242,1.38164877830937,0.322491564373323,2.20618402448307,0.2,0.9,0.9,0.7,0.9,0.6,7,1,132,0,0,0,0,0,0.1,0.1,0.2,0.6
"13","01031500","NorthEast",1.32327057949949,2.53580164430028,0.796456891199455,1.32588753089758,0.741333287664669,2.10915676233851,0.2,1,1,0.4,1,0.8,8,0,309,0,0,0,0,0,0,0,0.2,0.8
"14","01031510","NorthEast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","01033500","NorthEast",1.41263507903664,2.98341320568396,1.02304222754338,1.42141826432518,0.827427685246328,2.57309451391947,0.2,0.9,0.9,0.5,0.9,0.8,8,1,109,0,0,0,0,0,0,0.1,0.1,0.8
"16","01037380","NorthEast",1.16215081633821,3.64644103262404,0.795423788373108,1.14042603443117,0.947071415616418,1.67241827129492,0.2,0.7,0.8,0.4,0.7,0.3,4,3,80,0,0,0,0.1,0,0,0.2,0.3,0.4
"17","01044550","NorthEast",1.34901817384516,1.26847269124072,1.24177405047668,1.2845988851207,0.457518571109154,2.74688208149402,0.2,0.9,0.9,0.9,0.9,0.9,9,1,80,0,0,0,0,0,0,0.1,0,0.9
"18","01046000","NorthEast",1.29642384318552,2.07533890517979,0.771786914841976,1.27716259046287,0.779849536352037,2.20979418043797,0.3,1,1,0.5,1,0.9,9,0,151,0,0,0,0,0,0,0,0.1,0.9
"19","01047000","NorthEast",1.55314499213226,2.43781494783359,1.08530701525807,1.53269515310387,0.8440864751528,2.53693137121774,0.3,0.9,0.9,0.8,0.9,0.8,8,1,253,0,0,0,0,0,0,0.1,0.1,0.8
"20","01047200","NorthEast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","01048220","NorthEast",1.31793376460836,3.37986361550542,0.864714484492046,1.31214746904758,0.688920705253555,2.06784526407252,0.1,0.9,0.9,0.7,0.9,0.3,7,1,58,0,0,0,0,0,0,0.1,0.2,0.7
"22","01052500","NorthEast",1.52517562964107,2.54408744249983,1.48422777769608,1.4708633646106,0.624988767165988,2.391711434587,0.1,0.8,0.7,0.4,0.8,0.6,5,2,184,0,0,0,0,0,0,0.2,0.3,0.5
"23","01054200","NorthEast",1.59729549205903,3.15062262802926,0.729616410149751,1.56239764342625,-0.0488075337470043,3.23234769146012,0.2,0.9,0.8,0.4,0.9,0.5,6,2,142,0,0,0,0,0,0,0.2,0.2,0.6
"24","01054300","NorthEast",1.41710161535472,2.2573628430402,0.592734100051381,1.39959847664464,0.811934845151376,2.24220399042318,0.2,0.8,0.6,0.4,0.7,0.4,4,3,144,0,0,0,0.1,0,0,0.2,0.3,0.4
"25","01055000","NorthEast",1.41287900963541,2.2019961607983,0.761229081519524,1.41369861499402,0.490361386730613,2.71671133546961,0.1,1,1,0.5,1,0.9,9,0,207,0,0,0,0,0,0,0,0.1,0.9
"26","01057000","NorthEast",1.25392849783078,2.99109454440795,1.05238388500433,1.25696165897908,1.0135876009135,2.47006151192499,0.3,0.8,0.8,0.6,0.9,0.5,7,2,201,0,0,0,0,0,0,0.2,0.1,0.7
"27","01064300","NorthEast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","01064400","NorthEast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","01064801","NorthEast",1.38378812386204,3.89686193841748,0.945066681460372,1.39008610904717,1.16890358829166,2.1742425573364,0.2,1,0.8,0.5,1,0.5,6,0,88,0,0,0,0,0,0,0,0.4,0.6
"30","01067950","NorthEast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","01073000","NorthEast",1.22936189273131,2.8272483417432,0.946498573245513,1.21009472117894,0.989116504897892,2.09727546202169,0,0.9,0.9,0.9,0.9,0.1,9,1,115,0,0,0,0,0,0,0.1,0,0.9
"32","01074520","NorthEast",1.82667856850673,2.03280395524234,2.3439802781141,1.84162389629022,1.51834387270149,2.61487032086717,0.1,0.9,0.9,0.5,0.9,0.9,9,1,51,0,0,0,0,0,0,0.1,0,0.9
